chr	start	end	pct_AST	pct_nonAST	mean_AST	mean_nonAST	log2FC
chr11	96239855	96240733	0.006	0.008	0.013	0.017	-0.244
chr11	96413579	96414525	0	0.001	0	0.005	-0.551
chr11	96438586	96439477	0.013	0.007	0.019	0.012	0.417
chr11	96552817	96553694	0.006	0.004	0.013	0.008	0.298
chr11	96620676	96621611	0.013	0.005	0.038	0.01	1.239
chr11	96673478	96674357	0.006	0.007	0.013	0.017	-0.244
chr11	96735600	96736512	0.013	0.005	0.038	0.009	1.307
chr11	96759742	96760613	0.006	0.003	0.006	0.006	0.064
chr11	96777201	96778113	0.025	0.017	0.082	0.043	0.798
chr11	96784533	96785453	0	0.006	0	0.013	-1.203
chr11	96788851	96789678	0.013	0.004	0.019	0.008	0.689
chr11	96823899	96824704	0	0.006	0	0.011	-1.049
chr11	96829665	96830534	0.019	0.029	0.031	0.058	-0.717
chr11	96860201	96861035	0.006	0.008	0.025	0.016	0.446
chr11	96861598	96862475	0.013	0.011	0.025	0.021	0.164
chr11	96863269	96864125	0.006	0.001	0.025	0.003	1.459
chr11	96902904	96903902	0	0.005	0	0.009	-0.948
chr11	96909830	96910689	0	0.005	0	0.009	-0.913
chr11	96916112	96916987	0.025	0.026	0.044	0.056	-0.294
chr11	96934681	96935534	0.006	0.003	0.025	0.007	1.091
chr11	96943618	96944537	0	0.006	0	0.013	-1.173
chr11	96963302	96964217	0.006	0.009	0.013	0.02	-0.41
chr11	96973420	96974358	0.013	0.003	0.038	0.007	1.453
chr11	96977391	96978230	0.025	0.041	0.063	0.088	-0.425
chr11	96982097	96982937	0	0.006	0	0.009	-0.948
chr11	96997118	96997995	0	0.005	0	0.009	-0.913
chr11	97021621	97022498	0	0.006	0	0.012	-1.143
chr11	97025725	97026685	0.013	0.009	0.025	0.017	0.37
chr11	97029545	97030438	0.013	0.016	0.025	0.034	-0.322
chr11	97041010	97041911	0.025	0.007	0.05	0.015	1.278
chr11	97050294	97051228	0	0.01	0	0.021	-1.629
chr11	97072323	97073216	0.006	0.004	0.019	0.009	0.616
chr11	97082635	97083484	0.006	0.007	0.013	0.013	0.002
chr11	97101447	97102341	0.006	0.006	0.013	0.012	0.062
chr11	97138597	97139485	0	0.005	0	0.01	-1.016
chr11	97157050	97157860	0	0.004	0	0.007	-0.763
chr11	97186675	97187424	0.013	0.01	0.025	0.022	0.122
chr11	97187867	97188725	0.006	0.019	0.013	0.04	-1.146
chr11	97279233	97280059	0.006	0.002	0.013	0.003	0.768
chr11	97280219	97281121	0	0.006	0	0.01	-1.016
chr11	97309927	97310726	0.025	0.005	0.057	0.009	1.787
chr11	97315285	97316205	0	0.009	0	0.019	-1.516
chr11	97338594	97339513	0	0.004	0	0.008	-0.877
chr11	97349790	97350711	0.006	0.007	0.013	0.014	-0.113
chr11	97361777	97362684	0.006	0.016	0.025	0.033	-0.306
chr11	97400130	97401033	0	0.005	0	0.008	-0.877
chr11	97415201	97416054	0.006	0.01	0.013	0.023	-0.538
chr11	97422294	97423204	0	0.004	0	0.008	-0.877
chr11	97449424	97450298	0	0.004	0	0.008	-0.84
chr11	97476002	97477015	0	0.007	0	0.016	-1.368
chr11	97511171	97512026	0	0.009	0	0.019	-1.516
chr11	97531441	97532333	0	0.007	0	0.013	-1.232
chr11	97543025	97543935	0.013	0.003	0.019	0.006	0.89
chr11	97608750	97609624	0.006	0.003	0.013	0.005	0.579
chr11	97619081	97619973	0.006	0.005	0.013	0.01	0.159
chr11	97622101	97623055	0.013	0.004	0.025	0.01	0.797
chr11	97629290	97630197	0.006	0.008	0.013	0.018	-0.317
chr11	97631671	97632557	0.006	0.007	0.013	0.013	-0.028
chr11	97660059	97660657	0.013	0.004	0.019	0.007	0.806
chr11	97680257	97681152	0.006	0.001	0.013	0.003	0.82
chr11	97694573	97695462	0	0.005	0	0.011	-1.049
chr11	97702871	97703778	0.019	0.01	0.038	0.024	0.502
chr11	97744541	97745473	0.031	0.026	0.057	0.06	-0.071
chr11	97766242	97767080	0.006	0.004	0.013	0.007	0.452
chr11	97781995	97782916	0	0.005	0	0.009	-0.913
chr11	97799306	97800146	0	0.009	0	0.017	-1.444
chr11	97883852	97884774	0.019	0.015	0.038	0.033	0.135
chr11	97899626	97900524	0.013	0.006	0.019	0.011	0.48
chr11	97970985	97971868	0.006	0.001	0.013	0.003	0.82
chr11	97987471	97988320	0.013	0.012	0.019	0.022	-0.163
chr11	97988741	97989497	0	0.005	0	0.007	-0.802
chr11	97994409	97995322	0.006	0.003	0.013	0.007	0.452
chr11	98022499	98023286	0	0.005	0	0.012	-1.113
chr11	98026300	98027152	0	0.006	0	0.013	-1.203
chr11	98047528	98048440	0	0.004	0	0.008	-0.84
chr11	98075051	98075968	0.019	0.006	0.038	0.011	1.206
chr11	98150035	98150797	0	0.006	0	0.01	-1.016
chr11	98192753	98193704	0.006	0.007	0.013	0.013	-0.028
chr11	98202489	98203373	0.031	0.012	0.063	0.025	1.073
chr11	98294163	98295058	0.006	0.004	0.025	0.01	0.831
chr11	98338484	98339344	0.013	0.003	0.025	0.007	1.012
chr11	98341735	98342285	0	0.005	0	0.008	-0.877
chr11	98342404	98343132	0.006	0.006	0.013	0.009	0.227
chr11	98357962	98358881	0.013	0.007	0.019	0.013	0.327
chr11	98372138	98372755	0	0.007	0	0.013	-1.232
chr11	98389171	98390052	0	0.007	0	0.013	-1.173
chr11	98399826	98400746	0.013	0.014	0.038	0.028	0.316
chr11	98412186	98413008	0.013	0.006	0.038	0.011	1.206
chr11	98438533	98439431	0.013	0.013	0.025	0.029	-0.16
chr11	98457255	98458148	0.013	0.005	0.025	0.011	0.765
chr11	98550769	98551681	0.013	0.01	0.038	0.02	0.648
chr11	98586817	98587686	0.013	0.017	0.025	0.036	-0.396
chr11	98606513	98607305	0.013	0.005	0.025	0.008	0.937
chr11	98654826	98655715	0.019	0.008	0.038	0.017	0.836
chr11	98660115	98661084	0.013	0.015	0.019	0.033	-0.591
chr11	98672887	98673776	0.006	0.012	0.013	0.023	-0.558
chr11	98681921	98682811	0.05	0.017	0.107	0.036	1.352
chr11	98699599	98700445	0.013	0.005	0.025	0.009	0.865
chr11	98717802	98718661	0	0.003	0	0.006	-0.682
chr11	98728996	98729895	0.006	0.005	0.013	0.01	0.192
chr11	98750525	98751394	0	0.003	0	0.007	-0.723
chr11	98773560	98774468	0.006	0.003	0.013	0.007	0.452
chr11	98775197	98775967	0.019	0.003	0.038	0.006	1.573
chr11	98785397	98786173	0	0.006	0	0.012	-1.143
chr11	98786471	98787416	0.006	0.007	0.013	0.014	-0.085
chr11	98788587	98789506	0	0.003	0	0.007	-0.723
chr11	98809277	98810151	0	0.011	0	0.022	-1.671
chr11	98836364	98837235	0.006	0.004	0.013	0.007	0.373
chr11	98858826	98859722	0.019	0.007	0.038	0.018	0.787
chr11	98863243	98864103	0	0.007	0	0.013	-1.173
chr11	98907273	98908175	0.006	0.007	0.013	0.015	-0.14
chr11	98937135	98938015	0	0.006	0	0.013	-1.173
chr11	98951192	98952083	0	0.003	0	0.007	-0.763
chr11	98966425	98967355	0	0.004	0	0.008	-0.877
chr11	99023925	99024807	0.031	0.015	0.063	0.032	0.809
chr11	99039511	99040453	0	0.004	0	0.007	-0.723
chr11	99040938	99041808	0	0.006	0	0.011	-1.081
chr11	99065715	99066613	0.019	0.008	0.057	0.02	1.151
chr11	99149591	99150525	0	0.007	0	0.014	-1.26
chr11	99189072	99189917	0	0.007	0	0.014	-1.26
chr11	99230203	99231010	0	0.002	0	0.006	-0.64
chr11	99243558	99244410	0	0.004	0	0.007	-0.802
chr11	99307220	99308102	0.013	0.005	0.019	0.013	0.327
chr11	99310556	99311441	0.013	0.001	0.025	0.001	1.625
chr11	99364104	99364924	0.019	0.007	0.031	0.013	0.849
chr11	99369887	99370547	0	0.006	0	0.011	-1.049
chr11	99385675	99386347	0.013	0.005	0.019	0.01	0.513
chr11	99430500	99431314	0.013	0.004	0.025	0.007	1.091
chr11	99462916	99463820	0.031	0.006	0.063	0.011	1.817
chr11	99489235	99490102	0.006	0.003	0.013	0.007	0.412
chr11	99539528	99540426	0.006	0.007	0.013	0.014	-0.113
chr11	99573906	99574789	0.019	0.013	0.031	0.026	0.221
chr11	99739901	99740828	0	0.003	0	0.007	-0.763
chr11	99985553	99986389	0	0.006	0	0.013	-1.173
chr11	100004594	100005479	0.013	0.007	0.031	0.013	0.878
chr11	100118385	100119276	0.006	0.003	0.006	0.006	0.022
chr11	100168711	100169681	0.019	0.016	0.05	0.031	0.568
chr11	100281902	100282600	0.019	0.006	0.031	0.011	1.002
chr11	100295079	100295986	0.019	0.009	0.031	0.02	0.445
chr11	100298035	100298888	0.006	0.008	0.006	0.016	-0.664
chr11	100300004	100300884	0	0.007	0	0.014	-1.26
chr11	100319481	100320296	0.044	0.019	0.101	0.038	1.215
chr11	100351691	100352684	0.006	0.005	0.006	0.012	-0.409
chr11	100355818	100356686	0.006	0.005	0.013	0.01	0.159
chr11	100363143	100363949	0	0.003	0	0.007	-0.763
chr11	100397428	100398335	0.025	0.015	0.044	0.03	0.426
chr11	100414262	100415086	0.006	0.01	0.013	0.022	-0.496
chr11	100440671	100441554	0.013	0.005	0.025	0.013	0.582
chr11	100472386	100473266	0.006	0.007	0.013	0.013	-0.057
chr11	100527578	100528451	0.05	0.026	0.082	0.062	0.344
chr11	100545166	100546057	0	0.009	0	0.018	-1.468
chr11	100555298	100556172	0.006	0.006	0.013	0.013	-0.028
chr11	100570337	100571187	0.006	0.004	0.006	0.009	-0.245
chr11	100574713	100575509	0	0.004	0	0.007	-0.802
chr11	100619261	100620162	0	0.007	0	0.016	-1.368
chr11	100622533	100623418	0.006	0.007	0.006	0.016	-0.69
chr11	100639869	100640718	0	0.009	0	0.021	-1.629
chr11	100672818	100673706	0.006	0.006	0.013	0.012	0.032
chr11	100694694	100695547	0.006	0.006	0.013	0.013	0.002
chr11	100702238	100703123	0	0.008	0	0.016	-1.368
chr11	100711983	100712801	0	0.005	0	0.01	-0.983
chr11	100737810	100738747	0.031	0.013	0.057	0.03	0.728
chr11	100744797	100745744	0.006	0.007	0.006	0.014	-0.556
chr11	100761392	100762336	0.013	0.007	0.025	0.015	0.499
chr11	100770493	100771305	0.013	0.005	0.038	0.008	1.378
chr11	100850117	100851045	0.006	0.01	0.013	0.022	-0.517
chr11	100858942	100859795	0	0.006	0	0.013	-1.232
chr11	100860108	100860882	0.006	0.005	0.006	0.012	-0.409
chr11	100893222	100894115	0.006	0.006	0.013	0.012	0.032
chr11	100939167	100940084	0.063	0.03	0.138	0.063	1.028
chr11	100956908	100957759	0.006	0.002	0.013	0.004	0.719
chr11	100959181	100960045	0	0.007	0	0.014	-1.26
chr11	100970234	100971099	0.019	0.005	0.038	0.01	1.272
chr11	100983081	100983986	0	0.006	0	0.012	-1.143
chr11	101009028	101009868	0.019	0.007	0.038	0.013	1.082
chr11	101034534	101035434	0	0.003	0	0.006	-0.682
chr11	101069629	101070514	0.006	0.015	0.006	0.029	-1.253
chr11	101082074	101082932	0.013	0.008	0.038	0.016	0.887
chr11	101095051	101095918	0.006	0.004	0.006	0.007	-0.059
chr11	101119535	101120465	0	0.011	0	0.026	-1.868
chr11	101162463	101163329	0	0.004	0	0.007	-0.802
chr11	101170974	101171878	0.025	0.017	0.038	0.038	-0.012
chr11	101173463	101174349	0	0.004	0	0.007	-0.763
chr11	101180648	101181455	0.006	0.006	0.013	0.01	0.192
chr11	101189177	101190101	0	0.009	0	0.023	-1.713
chr11	101200748	101201580	0	0.009	0	0.021	-1.629
chr11	101211685	101212580	0.031	0.009	0.069	0.018	1.493
chr11	101225889	101226795	0.013	0.003	0.031	0.007	1.249
chr11	101245855	101246744	0.013	0.005	0.031	0.013	0.878
chr11	101253332	101254142	0	0.004	0	0.007	-0.723
chr11	101278551	101279451	0.006	0.007	0.013	0.019	-0.341
chr11	101301770	101302711	0	0.013	0	0.032	-2.057
chr11	101315672	101316474	0.006	0.005	0.013	0.01	0.192
chr11	101323323	101324228	0.019	0.005	0.031	0.01	1.035
chr11	101338155	101338926	0.006	0.002	0.006	0.004	0.248
chr11	101394792	101395702	0.006	0.008	0.013	0.018	-0.317
chr11	101424605	101425494	0	0.007	0	0.012	-1.143
chr11	101441772	101442704	0.031	0.016	0.063	0.034	0.73
chr11	101465688	101466530	0.006	0.002	0.013	0.004	0.671
chr11	101467639	101468505	0.013	0.014	0.031	0.026	0.183
chr11	101551727	101552309	0.013	0.01	0.019	0.015	0.215
chr11	101552422	101553050	0.013	0.011	0.019	0.02	-0.033
chr11	101589035	101589961	0.006	0.004	0.013	0.008	0.335
chr11	101627632	101628544	0	0.004	0	0.01	-0.983
chr11	101657488	101658355	0.006	0.007	0.013	0.015	-0.14
chr11	101665092	101665942	0.013	0.008	0.025	0.016	0.446
chr11	101732356	101733277	0	0.013	0	0.024	-1.773
chr11	101763532	101764378	0.013	0.005	0.063	0.011	1.817
chr11	101812966	101813880	0.006	0.006	0.006	0.011	-0.377
chr11	101814447	101815390	0	0.007	0	0.013	-1.173
chr11	101904853	101905779	0.006	0.006	0.013	0.012	0.032
chr11	101906755	101907668	0.013	0.006	0.025	0.01	0.797
chr11	101910054	101910892	0.006	0.009	0.013	0.018	-0.293
chr11	101968524	101969398	0.006	0.005	0.013	0.01	0.192
chr11	101984262	101985041	0.019	0.015	0.031	0.031	0.027
chr11	101985861	101986718	0.006	0.01	0.013	0.02	-0.432
chr11	102026611	102027551	0.006	0.006	0.013	0.013	0.002
chr11	102027620	102028378	0	0.003	0	0.005	-0.551
chr11	102039870	102040750	0.019	0.014	0.038	0.03	0.264
chr11	102053562	102054415	0.006	0.004	0.006	0.008	-0.173
chr11	102060804	102061750	0.013	0.008	0.025	0.016	0.42
chr11	102082112	102083027	0	0.006	0	0.014	-1.26
chr11	102089019	102089946	0.006	0.009	0.013	0.02	-0.41
chr11	102096747	102097733	0.006	0.014	0.013	0.03	-0.816
chr11	102102185	102103041	0	0.005	0	0.012	-1.143
chr11	102138080	102139013	0	0.005	0	0.009	-0.948
chr11	102140252	102141149	0	0.003	0	0.006	-0.64
chr11	102156012	102156944	0.019	0.006	0.038	0.013	1.082
chr11	102184754	102185666	0.013	0.004	0.025	0.008	0.974
chr11	102189312	102190228	0.006	0.004	0.013	0.008	0.335
chr11	102218579	102219491	0.006	0.004	0.013	0.008	0.335
chr11	102229788	102230726	0.013	0.011	0.038	0.026	0.424
chr11	102244839	102245718	0	0.003	0	0.008	-0.84
chr11	102248350	102249241	0.006	0.006	0.013	0.01	0.159
chr11	102257236	102258044	0.013	0.003	0.013	0.007	0.373
chr11	102267136	102268014	0.013	0.009	0.05	0.023	0.88
chr11	102276341	102277189	0	0.002	0	0.004	-0.504
chr11	102284403	102285287	0.019	0.018	0.05	0.04	0.258
chr11	102296598	102297472	0	0.026	0	0.054	-2.687
chr11	102308749	102309640	0	0.004	0	0.008	-0.877
chr11	102316403	102317218	0.006	0.006	0.006	0.01	-0.312
chr11	102317761	102318590	0	0.004	0	0.009	-0.948
chr11	102334874	102335784	0.006	0.003	0.013	0.005	0.579
chr11	102375536	102376375	0.006	0.003	0.013	0.005	0.579
chr11	102392854	102393735	0.006	0.007	0.006	0.014	-0.584
chr11	102407077	102407928	0	0.009	0	0.018	-1.492
chr11	102408296	102409054	0	0.004	0	0.007	-0.802
chr11	102411459	102412360	0	0.006	0	0.013	-1.173
chr11	102429972	102430815	0	0.013	0	0.025	-1.792
chr11	102431003	102431650	0	0.003	0	0.006	-0.64
chr11	102434110	102434998	0	0.005	0	0.01	-1.016
chr11	102438101	102438688	0.006	0.005	0.013	0.01	0.192
chr11	102447183	102447994	0	0.011	0	0.02	-1.585
chr11	102455508	102456416	0.006	0.006	0.013	0.012	0.062
chr11	102466750	102467661	0.019	0.015	0.031	0.031	0.01
chr11	102486637	102487516	0	0.005	0	0.013	-1.203
chr11	102555841	102556751	0.019	0.017	0.038	0.036	0.045
chr11	102572516	102573370	0	0.005	0	0.008	-0.877
chr11	102578580	102579369	0.006	0.004	0.013	0.006	0.493
chr11	102603799	102604703	0.013	0.007	0.038	0.015	0.94
chr11	102689853	102690877	0.019	0.011	0.038	0.022	0.584
chr11	102697370	102698272	0.019	0.013	0.031	0.028	0.112
chr11	102728405	102729266	0.013	0.012	0.025	0.023	0.081
chr11	102739084	102739960	0.006	0.004	0.025	0.008	0.974
chr11	102741356	102742045	0.006	0.004	0.013	0.007	0.373
chr11	102767169	102768018	0.006	0.003	0.025	0.007	1.012
chr11	102773600	102774398	0.031	0.007	0.063	0.015	1.551
chr11	102774521	102775312	0.013	0.006	0.019	0.013	0.298
chr11	102777340	102778173	0.013	0.005	0.025	0.01	0.831
chr11	102864098	102865049	0.025	0.013	0.075	0.024	1.323
chr11	102880719	102881629	0	0.01	0	0.02	-1.607
chr11	102898291	102899045	0.013	0.003	0.031	0.006	1.369
chr11	102900652	102901522	0.006	0.01	0.013	0.019	-0.341
chr11	102911279	102912093	0	0.006	0	0.012	-1.143
chr11	102924771	102925654	0.006	0.009	0.013	0.02	-0.387
chr11	102946427	102947333	0	0.01	0	0.02	-1.585
chr11	102989882	102990780	0	0.008	0	0.016	-1.393
chr11	102992690	102993658	0	0.005	0	0.011	-1.081
chr11	103002950	103003978	0.013	0.004	0.019	0.009	0.581
chr11	103016649	103017531	0.006	0.004	0.013	0.007	0.373
chr11	103028011	103028948	0	0.01	0	0.02	-1.585
chr11	103080203	103081131	0.006	0.003	0.013	0.007	0.452
chr11	103101193	103101983	0.006	0.006	0.013	0.01	0.192
chr11	103102523	103103401	0.013	0.012	0.025	0.031	-0.227
chr11	103115704	103116581	0.019	0.008	0.038	0.019	0.739
chr11	103132809	103133678	0	0.008	0	0.017	-1.419
chr11	103142252	103143104	0.006	0.007	0.025	0.014	0.554
chr11	103158555	103159444	0.025	0.011	0.063	0.024	1.113
chr11	103184674	103185577	0	0.003	0	0.006	-0.682
chr11	103201400	103202306	0	0.008	0	0.016	-1.393
chr11	103217694	103218620	0	0.008	0	0.018	-1.468
chr11	103232667	103233558	0.006	0.005	0.013	0.01	0.159
chr11	103267151	103268074	0.031	0.022	0.075	0.05	0.517
chr11	103271761	103272629	0.006	0.004	0.013	0.007	0.373
chr11	103324950	103325846	0.006	0.005	0.013	0.01	0.192
chr11	103326728	103327560	0.006	0.003	0.013	0.008	0.335
chr11	103332369	103333247	0	0.006	0	0.013	-1.173
chr11	103360038	103360913	0	0.005	0	0.01	-1.016
chr11	103412320	103413218	0.006	0.013	0.013	0.028	-0.747
chr11	103464126	103464934	0.006	0.004	0.013	0.007	0.452
chr11	103697256	103698229	0.006	0.012	0.013	0.024	-0.598
chr11	103749569	103750359	0	0.003	0	0.007	-0.802
chr11	103758657	103759535	0	0.003	0	0.007	-0.723
chr11	103763597	103764419	0.025	0.003	0.05	0.006	1.91
chr11	103809831	103810765	0	0.005	0	0.012	-1.143
chr11	103840438	103841462	0.006	0.004	0.025	0.009	0.865
chr11	103953528	103954404	0.006	0.01	0.013	0.019	-0.364
chr11	103966000	103967011	0.031	0.019	0.063	0.045	0.416
chr11	103987205	103988054	0.006	0.005	0.013	0.009	0.227
chr11	103997158	103998099	0	0.006	0	0.013	-1.203
chr11	104114506	104115389	0	0.006	0	0.012	-1.113
chr11	104157719	104158613	0.013	0.01	0.025	0.019	0.275
chr11	104195510	104196397	0.019	0.009	0.031	0.018	0.559
chr11	104230851	104231767	0.013	0.017	0.025	0.035	-0.352
chr11	104271990	104272752	0	0.006	0	0.013	-1.203
chr11	104278066	104278899	0.006	0.006	0.006	0.01	-0.312
chr11	104289013	104289776	0	0.006	0	0.01	-1.016
chr11	104315388	104316248	0.006	0.005	0.013	0.012	0.032
chr11	104442280	104443035	0.006	0.007	0.025	0.018	0.346
chr11	104468995	104469884	0.013	0.015	0.025	0.03	-0.177
chr11	104550180	104551100	0.038	0.02	0.075	0.046	0.609
chr11	104579725	104580679	0	0.004	0	0.008	-0.84
chr11	104589897	104590754	0.019	0.009	0.031	0.019	0.535
chr11	104607676	104608472	0.019	0.004	0.025	0.008	0.974
chr11	104646967	104647879	0.013	0.006	0.025	0.013	0.582
chr11	104767842	104768759	0.006	0.007	0.013	0.011	0.094
chr11	104971088	104971997	0.006	0.005	0.013	0.012	0.062
chr11	105030857	105031751	0.006	0.008	0.013	0.019	-0.364
chr11	105125976	105126834	0.019	0.007	0.038	0.014	0.967
chr11	105180955	105181896	0.019	0.01	0.038	0.021	0.627
chr11	105269815	105270649	0.013	0.003	0.025	0.007	1.091
chr11	105352910	105353860	0	0.005	0	0.01	-0.983
chr11	105362552	105363444	0	0.005	0	0.011	-1.081
chr11	105439271	105440163	0.006	0.003	0.013	0.007	0.412
chr11	105456283	105457120	0	0.004	0	0.009	-0.948
chr11	105567097	105568024	0.006	0.005	0.013	0.01	0.192
chr11	105589216	105590106	0.013	0.015	0.031	0.033	-0.038
chr11	105591696	105592610	0	0.003	0	0.005	-0.596
chr11	105731507	105732373	0.006	0.002	0.013	0.005	0.579
chr11	105911053	105911995	0	0.004	0	0.009	-0.913
chr11	105926875	105927734	0	0.009	0	0.017	-1.444
chr11	105935952	105936839	0.006	0.004	0.013	0.011	0.094
chr11	105974491	105975385	0.006	0.004	0.025	0.01	0.831
chr11	106001595	106002476	0.013	0.004	0.025	0.008	0.937
chr11	106036354	106037250	0.019	0.021	0.038	0.046	-0.219
chr11	106065684	106066526	0.019	0.013	0.025	0.026	-0.017
chr11	106083892	106084809	0.038	0.051	0.075	0.109	-0.475
chr11	106134718	106135625	0.013	0.002	0.019	0.006	0.89
chr11	106159953	106160666	0	0.006	0	0.01	-1.016
chr11	106160791	106161604	0.006	0.005	0.013	0.009	0.262
chr11	106193209	106194116	0.031	0.022	0.063	0.049	0.298
chr11	106216159	106217030	0.019	0.013	0.038	0.028	0.316
chr11	106255664	106256554	0.013	0.005	0.019	0.01	0.513
chr11	106272556	106273437	0.019	0.024	0.038	0.048	-0.29
chr11	106276158	106277042	0.038	0.015	0.075	0.03	1.104
chr11	106302405	106303307	0.038	0.009	0.094	0.019	1.867
chr11	106364580	106365467	0.013	0.005	0.031	0.011	0.97
chr11	106366156	106367032	0	0.012	0	0.025	-1.792
chr11	106391638	106392561	0.019	0.017	0.031	0.032	-0.006
chr11	106418347	106419236	0.019	0.006	0.038	0.013	1.052
chr11	106487425	106488311	0.019	0.02	0.038	0.042	-0.119
chr11	106491088	106491981	0	0.004	0	0.007	-0.763
chr11	106500448	106501284	0.006	0.013	0.013	0.026	-0.656
chr11	106612625	106613534	0.019	0.014	0.031	0.03	0.043
chr11	106627502	106628346	0	0.007	0	0.014	-1.288
chr11	106648132	106649039	0.006	0.004	0.013	0.007	0.373
chr11	106657910	106658645	0	0.007	0	0.013	-1.232
chr11	106674304	106675211	0.013	0.005	0.031	0.009	1.103
chr11	106677800	106678685	0.013	0.009	0.025	0.019	0.275
chr11	106788469	106789368	0.006	0.011	0.006	0.025	-1.089
chr11	106801692	106802704	0	0.003	0	0.007	-0.763
chr11	106920420	106921381	0.013	0.013	0.025	0.026	-0.054
chr11	106980114	106981000	0.013	0.004	0.031	0.007	1.249
chr11	106999128	106999994	0.006	0.012	0.013	0.026	-0.693
chr11	107012225	107013148	0.006	0.008	0.013	0.018	-0.293
chr11	107027629	107028536	0	0.012	0	0.027	-1.904
chr11	107044046	107044920	0.013	0.004	0.025	0.008	0.974
chr11	107131787	107132692	0.019	0.005	0.05	0.009	1.644
chr11	107188815	107189651	0.013	0.011	0.025	0.024	0.041
chr11	107470323	107471208	0.006	0.005	0.013	0.008	0.298
chr11	107478901	107480021	0.013	0.007	0.025	0.015	0.499
chr11	107629260	107630158	0.025	0.008	0.05	0.017	1.174
chr11	107859268	107860123	0.006	0.007	0.013	0.014	-0.113
chr11	107863702	107864561	0	0.004	0	0.009	-0.913
chr11	107864940	107865754	0	0.004	0	0.006	-0.682
chr11	107903684	107904600	0.025	0.007	0.05	0.015	1.251
chr11	107965332	107966237	0	0.005	0	0.01	-1.016
chr11	107982218	107983139	0.006	0.01	0.006	0.021	-0.946
chr11	108020613	108021519	0.013	0.004	0.025	0.008	0.937
chr11	108030765	108031651	0	0.006	0	0.013	-1.203
chr11	108150073	108150925	0.006	0.005	0.013	0.01	0.159
chr11	108343637	108344512	0	0.008	0	0.017	-1.419
chr11	108377778	108378620	0	0.005	0	0.01	-1.016
chr11	108418352	108419247	0	0.003	0	0.007	-0.802
chr11	108424606	108425498	0.038	0.014	0.088	0.03	1.286
chr11	108449741	108450637	0.006	0.007	0.013	0.014	-0.085
chr11	108452843	108453699	0	0.002	0	0.004	-0.456
chr11	108796975	108797801	0.013	0.003	0.025	0.007	1.091
chr11	108821760	108822693	0	0.003	0	0.009	-0.948
chr11	108857481	108858376	0	0.004	0	0.011	-1.049
chr11	108888841	108889700	0	0.002	0	0.007	-0.723
chr11	108891122	108892039	0.006	0.005	0.013	0.011	0.094
chr11	108893937	108894797	0.006	0.005	0.013	0.01	0.192
chr11	108917279	108918190	0	0.004	0	0.008	-0.877
chr11	108920106	108920938	0	0.007	0	0.012	-1.143
chr11	108973280	108974096	0.006	0.007	0.031	0.012	0.908
chr11	109011393	109012309	0.044	0.031	0.138	0.073	0.83
chr11	109068685	109069580	0.025	0.003	0.05	0.007	1.869
chr11	109097554	109098420	0	0.003	0	0.005	-0.596
chr11	109125279	109126162	0.006	0.005	0.013	0.011	0.094
chr11	109178562	109179450	0.006	0.007	0.013	0.017	-0.244
chr11	109192900	109193789	0.025	0.013	0.044	0.028	0.512
chr11	109221302	109222173	0.006	0.006	0.006	0.012	-0.439
chr11	109244422	109245300	0.006	0.006	0.013	0.013	-0.028
chr11	109297698	109298557	0.006	0.01	0.013	0.019	-0.364
chr11	109311883	109312780	0.038	0.008	0.075	0.018	1.627
chr11	109316699	109317550	0	0.003	0	0.008	-0.877
chr11	109320059	109320961	0	0.004	0	0.01	-1.016
chr11	109331163	109331966	0.019	0.006	0.031	0.013	0.878
chr11	109344018	109344877	0.006	0.008	0.013	0.018	-0.293
chr11	109347442	109348206	0	0.004	0	0.009	-0.913
chr11	109362403	109363251	0.031	0.009	0.063	0.02	1.259
chr11	109425385	109426273	0.057	0.035	0.138	0.077	0.775
chr11	109445242	109446183	0	0.003	0	0.008	-0.877
chr11	109584828	109585731	0	0.007	0	0.016	-1.368
chr11	109611228	109612155	0.075	0.075	0.195	0.179	0.114
chr11	109650472	109651320	0.006	0.005	0.013	0.007	0.373
chr11	109721613	109722369	0	0.007	0	0.012	-1.113
chr11	109753990	109754816	0	0.005	0	0.009	-0.913
chr11	109768862	109769714	0.006	0.004	0.013	0.007	0.412
chr11	109860273	109861158	0.006	0.005	0.013	0.009	0.227
chr11	110110865	110111718	0.013	0.006	0.025	0.013	0.611
chr11	110268023	110269004	0.025	0.007	0.05	0.014	1.333
chr11	110271410	110272310	0.006	0.004	0.025	0.009	0.901
chr11	110323986	110324838	0.006	0.002	0.025	0.005	1.263
chr11	110337237	110338101	0.019	0.011	0.031	0.021	0.423
chr11	110379726	110380632	0.013	0.005	0.044	0.009	1.485
chr11	110398601	110399511	0.013	0.005	0.05	0.011	1.543
chr11	110447939	110448755	0	0.003	0	0.005	-0.596
chr11	110498674	110499498	0.013	0.007	0.019	0.013	0.298
chr11	110537361	110538259	0.006	0.003	0.013	0.007	0.452
chr11	110601816	110602575	0	0.004	0	0.006	-0.64
chr11	110682578	110683525	0.006	0.001	0.025	0.003	1.407
chr11	110781349	110782244	0.006	0.006	0.013	0.011	0.126
chr11	110996944	110997892	0	0.004	0	0.011	-1.049
chr11	111022655	111023534	0.025	0.002	0.044	0.004	1.977
chr11	111064454	111065320	0	0.004	0	0.006	-0.682
